m,n,filesize,alloc,disk_IO,cuda_alloc,gpu_memcopy,compute,memcopy_back,total
512,512,1048576,0.0000100000,0.0014740000,0.4454390000,0.0003900000,0.0003960000,0.0000220000,0.4481480000
512,1024,2097152,0.0000080000,0.0025420000,0.0009640000,0.0005260000,0.0004030000,0.0000240000,0.0050960000
512,2048,4194304,0.0000130000,0.0034470000,0.0010890000,0.0010650000,0.0005760000,0.0000240000,0.0069280000
512,4096,8388608,0.0000130000,0.0058710000,0.0010470000,0.0023960000,0.0006460000,0.0000250000,0.0107000000
512,8192,16777216,0.0000120000,0.0111150000,0.0010470000,0.0051250000,0.0007860000,0.0000250000,0.0186820000
512,16384,33554432,0.0000100000,0.0214460000,0.0010530000,0.0105020000,0.0010170000,0.0000270000,0.0346330000
1024,512,2097152,0.0000200000,0.0021040000,0.0007870000,0.0003060000,0.0005720000,0.0000210000,0.0043050000
1024,1024,4194304,0.0000090000,0.0031300000,0.0007270000,0.0009810000,0.0005990000,0.0000250000,0.0059370000
1024,2048,8388608,0.0000100000,0.0056540000,0.0009130000,0.0023150000,0.0006590000,0.0000210000,0.0101530000
1024,4096,16777216,0.0000090000,0.0101820000,0.0010420000,0.0050410000,0.0007680000,0.0000240000,0.0176520000
1024,8192,33554432,0.0000150000,0.0188890000,0.0009070000,0.0104210000,0.0009510000,0.0000270000,0.0317370000
1024,16384,67108864,0.0000200000,0.0345470000,0.0008980000,0.0211580000,0.0013560000,0.0000340000,0.0586160000
2048,512,4194304,0.0000250000,0.0027110000,0.0007700000,0.0008990000,0.0006200000,0.0000210000,0.0055140000
2048,1024,8388608,0.0000070000,0.0043910000,0.0007480000,0.0022400000,0.0006490000,0.0000220000,0.0085110000
2048,2048,16777216,0.0000070000,0.0082600000,0.0007590000,0.0049720000,0.0007150000,0.0000220000,0.0151470000
2048,4096,33554432,0.0000140000,0.0162960000,0.0008290000,0.0103750000,0.0008270000,0.0000260000,0.0288550000
2048,8192,67108864,0.0000190000,0.0323490000,0.0008880000,0.0211440000,0.0010720000,0.0000350000,0.0561050000
2048,16384,134217728,0.0000250000,0.0645690000,0.0008970000,0.0426050000,0.0016120000,0.0000330000,0.1103370000
4096,512,8388608,0.0000260000,0.0049120000,0.0007570000,0.0022380000,0.0006760000,0.0000260000,0.0090890000
4096,1024,16777216,0.0000070000,0.0086670000,0.0008690000,0.0049710000,0.0007790000,0.0000260000,0.0158010000
4096,2048,33554432,0.0000130000,0.0164630000,0.0008620000,0.0103650000,0.0009280000,0.0000310000,0.0291240000
4096,4096,67108864,0.0000200000,0.0326930000,0.0009370000,0.0211260000,0.0012830000,0.0000400000,0.0566610000
4096,8192,134217728,0.0000280000,0.0650500000,0.0009620000,0.0425850000,0.0020000000,0.0000370000,0.1112870000
4096,16384,268435456,0.0000270000,0.1289770000,0.0010120000,0.0857390000,0.0034430000,0.0000380000,0.2198590000
8192,512,16777216,0.0000260000,0.0086790000,0.0007690000,0.0049580000,0.0007360000,0.0000340000,0.0156060000
8192,1024,33554432,0.0000100000,0.0176490000,0.0013800000,0.0103860000,0.0008450000,0.0000790000,0.0308480000
8192,2048,67108864,0.0000120000,0.0329660000,0.0008460000,0.0211010000,0.0011020000,0.0000710000,0.0566790000
8192,4096,134217728,0.0000180000,0.0651660000,0.0009230000,0.0425580000,0.0016780000,0.0000650000,0.1110130000
8192,8192,268435456,0.0000200000,0.1262310000,0.0008640000,0.0857380000,0.0027700000,0.0000510000,0.2161690000
8192,16384,536870912,0.0000220000,9.2021480000,0.0015570000,0.1719570000,0.0050110000,0.0000450000,9.3812910000
16384,512,33554432,0.0000280000,0.0210720000,0.0010790000,0.0106780000,0.0007610000,0.0000560000,0.0342570000
16384,1024,67108864,0.0000200000,0.0404070000,0.0009650000,0.0214380000,0.0009880000,0.0000590000,0.0644960000
16384,2048,134217728,0.0000290000,0.0733310000,0.0008740000,0.0428160000,0.0014960000,0.0000560000,0.1191560000
16384,4096,268435456,0.0000260000,0.1348960000,0.0009680000,0.0857270000,0.0024710000,0.0000560000,0.2247190000
16384,8192,536870912,0.0000270000,0.2670960000,0.0010250000,0.1716180000,0.0044380000,0.0000520000,0.4447000000
16384,16384,1073741824,0.0000090000,18.6681570000,0.0023700000,0.3436490000,0.0082500000,0.0001180000,19.0231890000
