m,n,filesize,alloc,disk_IO,cuda_alloc,gpu_memcopy,compute,memcopy_back,total
129,129,66564,0.0000100000,0.0006820000,0.4048310000,0.0002030000,0.0000490000,0.0000210000,0.4062360000
129,2177,1123332,0.0000110000,0.0017060000,0.0010050000,0.0003120000,0.0000920000,0.0000280000,0.0041010000
129,4225,2180100,0.0000150000,0.0024990000,0.0006910000,0.0003010000,0.0001210000,0.0000300000,0.0043440000
129,6273,3236868,0.0000140000,0.0030580000,0.0006900000,0.0003170000,0.0001570000,0.0000340000,0.0049870000
129,8321,4293636,0.0000150000,0.0039750000,0.0006360000,0.0002740000,0.0001870000,0.0000240000,0.0057210000
129,10369,5350404,0.0000130000,0.0043970000,0.0005890000,0.0002810000,0.0002250000,0.0000250000,0.0061710000
129,12417,6407172,0.0000130000,0.0046740000,0.0006200000,0.0002760000,0.0002590000,0.0000230000,0.0064660000
129,14465,7463940,0.0000120000,0.0053180000,0.0005650000,0.0002530000,0.0002970000,0.0000220000,0.0070300000
2177,129,1123332,0.0000110000,0.0013170000,0.0007250000,0.0002260000,0.0000460000,0.0000260000,0.0030080000
2177,2177,18957316,0.0000100000,0.0116510000,0.0008600000,0.0002310000,0.0002130000,0.0000270000,0.0136130000
2177,4225,36791300,0.0000120000,0.0208270000,0.0009150000,0.0002360000,0.0003790000,0.0000270000,0.0229860000
2177,6273,54625284,0.0000110000,0.0277510000,0.0008950000,0.0002340000,0.0005370000,0.0000270000,0.0300000000
2177,8321,72459268,0.0000120000,0.0336680000,0.0008320000,0.0002720000,0.0006970000,0.0000280000,0.0360290000
2177,10369,90293252,0.0000120000,0.0412680000,0.0008320000,0.0002720000,0.0008770000,0.0000250000,0.0438110000
2177,12417,108127236,0.0000110000,0.0494430000,0.0008640000,0.0002980000,0.0010270000,0.0000250000,0.0522090000
2177,14465,125961220,0.0000130000,0.0571180000,0.0008710000,0.0003050000,0.0011910000,0.0000240000,0.0600630000
4225,129,2180100,0.0000120000,0.0015790000,0.0003910000,0.0001690000,0.0000550000,0.0000260000,0.0026120000
4225,2177,36791300,0.0000080000,0.0172700000,0.0008330000,0.0001990000,0.0004090000,0.0000300000,0.0192680000
4225,4225,71402500,0.0000130000,0.0328680000,0.0006920000,0.0002550000,0.0007570000,0.0000290000,0.0350350000
4225,6273,106013700,0.0000120000,0.0484080000,0.0007080000,0.0002860000,0.0011000000,0.0000300000,0.0509660000
4225,8321,140624900,0.0000120000,0.0641420000,0.0006970000,0.0003160000,0.0014610000,0.0000300000,0.0670850000
4225,10369,175236100,0.0000120000,0.0780120000,0.0006800000,0.0005790000,0.0017900000,0.0000280000,0.0815560000
4225,12417,209847300,0.0000110000,0.0910920000,0.0006800000,0.0005720000,0.0021410000,0.0000300000,0.0949670000
