m,n,filesize,alloc,disk_IO,cuda_alloc,gpu_memcopy,compute,memcopy_back,total
128,128,65536,0.0000120000,0.0007290000,0.3986670000,0.0000440000,0.0000480000,0.0000210000,0.3999380000
128,2176,1114112,0.0000130000,0.1539750000,0.0014890000,0.0004790000,0.0003740000,0.0000260000,0.1573320000
128,4224,2162688,0.0000200000,0.0402230000,0.0008310000,0.0008160000,0.0004220000,0.0000230000,0.0429710000
128,6272,3211264,0.0000120000,0.0434550000,0.0009010000,0.0009580000,0.0004630000,0.0000250000,0.0464990000
128,8320,4259840,0.0000140000,0.0626000000,0.0009710000,0.0013250000,0.0004780000,0.0000230000,0.0660750000
128,10368,5308416,0.0000130000,0.0693450000,0.0011640000,0.0017910000,0.0005300000,0.0000240000,0.0734340000
128,12416,6356992,0.0000140000,0.0862880000,0.0010700000,0.0021370000,0.0005640000,0.0000230000,0.0907560000
128,14464,7405568,0.0000170000,0.0869750000,0.0007910000,0.0025150000,0.0006050000,0.0000170000,0.0913500000
2176,128,1114112,0.0000100000,0.0219510000,0.0011140000,0.0002350000,0.0003610000,0.0000280000,0.0244700000
2176,2176,18939904,0.0000150000,0.2192280000,0.0015880000,0.0063860000,0.0004940000,0.0000330000,0.2285850000
2176,4224,36765696,0.0000210000,0.6361950000,0.0016140000,0.0123250000,0.0006240000,0.0000480000,0.6521130000
2176,6272,54591488,0.0000310000,0.9862950000,0.0015230000,0.0179340000,0.0007600000,0.0000400000,1.0075920000
2176,8320,72417280,0.0000240000,1.3163590000,0.0013310000,0.0233650000,0.0009360000,0.0000330000,1.3428600000
2176,10368,90243072,0.0000200000,1.5711700000,0.0015800000,0.0293720000,0.0010450000,0.0000380000,1.6042080000
2176,12416,108068864,0.0000230000,1.8762510000,0.0014010000,0.0349210000,0.0011840000,0.0000370000,1.9146910000
2176,14464,125894656,0.0000210000,2.2956780000,0.0015250000,0.0411320000,0.0013210000,0.0000390000,2.3406530000
4224,128,2162688,0.0000260000,0.0548070000,0.0011130000,0.0008970000,0.0003690000,0.0000350000,0.0579580000
4224,2176,36765696,0.0000140000,0.6620220000,0.0012700000,0.0118170000,0.0006750000,0.0000460000,0.6766990000
4224,4224,71368704,0.0000200000,1.2451640000,0.0010250000,0.0233600000,0.0009760000,0.0000470000,1.2715170000
4224,6272,105971712,0.0000290000,1.8727560000,0.0022830000,0.0342750000,0.0012850000,0.0000710000,1.9114200000
4224,8320,140574720,0.0000170000,2.5747220000,0.0012730000,0.0462100000,0.0015960000,0.0000360000,2.6245590000
4224,10368,175177728,0.0000290000,3.0495900000,0.0011010000,0.0560180000,0.0019060000,0.0000340000,3.1092990000
4224,12416,209780736,0.0000140000,3.8014750000,0.0014710000,0.0685730000,0.0022300000,0.0000400000,3.8745670000
4224,14464,244383744,0.0000190000,4.3148520000,0.0012080000,0.0797450000,0.0025220000,0.0000360000,4.3990620000
6272,128,3211264,0.0000210000,0.0738600000,0.0009230000,0.0011590000,0.0003790000,0.0000370000,0.0769960000
6272,2176,54591488,0.0000120000,0.9844960000,0.0014740000,0.0180160000,0.0007270000,0.0000460000,1.0057790000
6272,4224,105971712,0.0000240000,1.8614490000,0.0012200000,0.0348870000,0.0010910000,0.0000440000,1.8994840000
