m,n,filesize,alloc,disk_IO,cuda_alloc,gpu_memcopy,compute,memcopy_back,total
128,128,65536,0.0000110000,0.0315850000,0.5519650000,0.0000340000,0.0000630000,0.0000200000,0.5840100000
128,2176,1114112,0.0000110000,0.0478240000,0.0009610000,0.0004840000,0.0003700000,0.0000250000,0.0503200000
128,4224,2162688,0.0000120000,0.0830280000,0.0007550000,0.0010590000,0.0004240000,0.0000270000,0.0858400000
128,6272,3211264,0.0000140000,0.0545480000,0.0007310000,0.0009710000,0.0004590000,0.0000230000,0.0572530000
128,8320,4259840,0.0000130000,0.0727210000,0.0007910000,0.0015530000,0.0004940000,0.0000240000,0.0761440000
128,10368,5308416,0.0000120000,0.0729730000,0.0008270000,0.0018980000,0.0005310000,0.0000270000,0.0767890000
128,12416,6356992,0.0000110000,0.0873730000,0.0008640000,0.0022680000,0.0005720000,0.0000250000,0.0916640000
128,14464,7405568,0.0000150000,0.1025400000,0.0008660000,0.0025830000,0.0006020000,0.0000290000,0.1071830000
2176,128,1114112,0.0000140000,0.0397140000,0.0009620000,0.0003040000,0.0003580000,0.0000330000,0.0420420000
2176,2176,18939904,0.0000130000,0.2262270000,0.0013000000,0.0061320000,0.0004960000,0.0000350000,0.2349650000
2176,4224,36765696,0.0000230000,0.6535160000,0.0012570000,0.0118510000,0.0006400000,0.0000510000,0.6681320000
2176,6272,54591488,0.0000270000,1.0022150000,0.0013130000,0.0179150000,0.0007790000,0.0000370000,1.0230960000
2176,8320,72417280,0.0000320000,1.2676290000,0.0013680000,0.0236930000,0.0009290000,0.0000380000,1.2945430000
2176,10368,90243072,0.0000330000,1.6354370000,0.0014070000,0.0294720000,0.0010510000,0.0000370000,1.6682960000
2176,12416,108068864,0.0000320000,1.9368620000,0.0013730000,0.0352150000,0.0011960000,0.0000380000,1.9755790000
2176,14464,125894656,0.0000320000,2.2360580000,0.0014090000,0.0410180000,0.0013280000,0.0000390000,2.2806850000
4224,128,2162688,0.0000310000,0.0667570000,0.0008310000,0.0008240000,0.0003700000,0.0000330000,0.0693960000
4224,2176,36765696,0.0000140000,0.6792150000,0.0012380000,0.0121310000,0.0006800000,0.0000410000,0.6940490000
4224,4224,71368704,0.0000230000,1.2691070000,0.0011650000,0.0233440000,0.0009790000,0.0000460000,1.2953910000
4224,6272,105971712,0.0000310000,1.8609560000,0.0019490000,0.0343810000,0.0013000000,0.0000480000,1.8993350000
4224,8320,140574720,0.0000230000,2.5165680000,0.0012390000,0.0460380000,0.0016030000,0.0000480000,2.5662110000
4224,10368,175177728,0.0000280000,3.1277220000,0.0012970000,0.0568560000,0.0019130000,0.0000600000,3.1885530000
4224,12416,209780736,0.0000260000,3.6904780000,0.0015020000,0.0680630000,0.0022300000,0.0000430000,3.7630200000
4224,14464,244383744,0.0000140000,4.3391490000,0.0013480000,0.0790540000,0.0025300000,0.0000370000,4.4227450000
6272,128,3211264,0.0000290000,0.0930560000,0.0008370000,0.0012210000,0.0003730000,0.0000370000,0.0960970000
6272,2176,54591488,0.0000140000,0.9597890000,0.0013180000,0.0178760000,0.0007380000,0.0000450000,0.9806380000
6272,4224,105971712,0.0000310000,1.9573150000,0.0012000000,0.0345400000,0.0010970000,0.0000450000,1.9949540000
6272,6272,157351936,0.0000320000,2.7878510000,0.0012560000,0.0510010000,0.0014580000,0.0000450000,2.8423410000
6272,8320,208732160,0.0000310000,3.6752430000,0.0013310000,0.0677460000,0.0018130000,0.0000430000,3.7468420000
6272,10368,260112384,0.0000280000,4.5733970000,0.0013030000,0.0843200000,0.0021750000,0.0000430000,4.6618980000
6272,12416,311492608,0.0000280000,5.5116120000,0.0014510000,0.1007040000,0.0025350000,0.0000400000,5.6169860000
6272,14464,362872832,0.0000280000,6.5242910000,0.0014920000,0.1172090000,0.0029030000,0.0000390000,6.6465840000
8320,128,4259840,0.0000270000,0.1229880000,0.0008360000,0.0015080000,0.0003890000,0.0000410000,0.1262550000
8320,2176,72417280,0.0000130000,1.3453340000,0.0013520000,0.0235220000,0.0009090000,0.0000490000,1.3719980000
8320,4224,140574720,0.0000310000,2.5935240000,0.0012260000,0.0457170000,0.0014230000,0.0000490000,2.6426360000
8320,6272,208732160,0.0000310000,3.6570320000,0.0013580000,0.0678940000,0.0019420000,0.0000480000,3.7289790000
8320,8320,276889600,0.0000290000,5.0270060000,0.0013770000,0.0897150000,0.0024700000,0.0000470000,5.1212470000
8320,10368,345047040,0.0000170000,6.1300180000,0.0015140000,0.1112270000,0.0029920000,0.0000450000,6.2463900000
8320,12416,413204480,0.0000260000,7.2552070000,0.0016310000,0.1333240000,0.0035430000,0.0000410000,7.3943470000
8320,14464,481361920,0.0000250000,8.6517150000,0.0016280000,0.1573040000,0.0040590000,0.0000400000,8.8153540000
